trip_id,route_id,vehicle_id,latitude,longitude,bearing,stop_id,timestamp_epoch
6369721-30_A_50_3003_19:35-SETP2025-30-Semaine-32,30,RLA136,43.68842697143555,7.295706748962402,340,769,1757440187
6411428-70_R_99_7001_19:30-SETP2025-70-Semaine-35,70,RLA325,43.712852478027344,7.2476725578308105,36,2671,1757440187
6413129-38_R_99_3805_19:30-SETP2025-38-Semaine-41,38,RLA44,43.696983337402344,7.248332977294922,21,885,1757440187
6416498-33_R_99_3304_19:40-SETP2025-33-L-Ma-J-V-36,33,RLA171,43.700225830078125,7.288071632385254,280,89,1757440187
6472695-50_A_50_5003_19:48-PROJET2025-50-Semaine-08,50,TCA106793,43.67665100097656,7.228027820587158,21,2832,1757440187
6018948-55_A_48_5501_19:35-PROJET2025-55-Semaine-08,55,TCA108185,43.684913635253906,7.181726455688477,320,5006,1757440187
6327153-17_A_50_1703_19:45-SETP2025-17-L-Ma-J-V-35,17,RLA165,43.68452072143555,7.227292537689209,269,473,1757440187
6462584-31_A_47_3102_19:37-PROJET2025-31-Semaine-08,31,TCA117298,43.714759826660156,7.224818229675293,346,1085,1757440187
6414355-07_A_49_0701_19:32-SETP2025-07-L-Ma-J-V-41,07,RLA463,43.7160530090332,7.284350395202637,185,557,1757440187
4669732-62_R_98_6205_19:40-RESEAU2023-62-Semaine-17,62,TCA73930,43.727577209472656,7.217302322387695,210,1090,1757440186
6420071-86_A_50_8601_17:35-PROJET2025-86-Semaine-07-1101100,86,SUM1829,43.755069732666016,7.312065124511719,327,7051,1757432951
6416044-21_R_99_2101_19:42-SETP2025-21-Semaine-40,21,RLA343,43.660888671875,7.148670673370361,188,4010,1757440187
6446599-05_R_49_0504_19:56-SETP2025-05-L-Ma-J-V-38,05,RLA372,43.741703033447266,7.277185440063477,161,1143,1757440187
6369727-30_A_50_3002_19:07-SETP2025-30-Semaine-32,30,RLA105,43.70018005371094,7.284242630004883,8,1507,1757440187
6218557-84_R_99_8402_19:01-PROJET2025-84-Semaine-04,84,SUM1746,43.70806884765625,7.2927961349487305,174,117,1757439474
