trip_id,route_id,direction_id
5673212-NVN1_R_98_NVN101_10:45-PROJET2024-NVence1-Semaine-15,NVN1,
6261684-73_A_1_7301_13:01-PROJET2025-73-Semaine-16,73,0
6327202-17_A_50_1701_12:59-SETP2025-17-L-Ma-J-V-35,17,0
6414251-07_A_49_0703_12:48-SETP2025-07-L-Ma-J-V-41,07,0
6410617-64_A_50_6401_10:45-SETP2025-64-Semaine-37,64,
5925329-54_A_47_5402_14:00-PROJET2025-54-Semaine-17,54,0
6403280-36_A_49_3603_13:36-SETP2025-36-Semaine-33,36,0
6446529-05_R_50_0501_12:05-SETP2025-05-L-Ma-J-V-38,05,1
4759149-47_R_99_4702_14:27-PROJET2023-47-Semaine-10,47,1
6253059-14_A_50_1405_13:06-SETP2025-14-L-Ma-J-V-38,14,0
6424096-16_A_50_1602_12:16-SETP2025-16-Semaine-35,16,0
6368847-09_A_50_0901_12:33-PROJET2025-09-Semaine-35,09,0
6410628-64_A_50_6403_11:45-SETP2025-64-Semaine-37,64,0
6416464-33_R_99_3303_11:30-SETP2025-33-L-Ma-J-V-36,33,1
6429297-15_R_99_1506_12:31-SETP2025-15-Semaine-11,15,1
6424097-16_A_46_1601_13:00-SETP2025-16-Semaine-35,16,0
5097935-69_A_40_6901_15:25-PROJET2023-69-Semaine-15,69,0
6018956-55_R_98_5502_11:45-PROJET2025-55-Semaine-08,55,1
6102456-63_R_98_6302_12:40-PROJET2025-63-Semaine-72-1101100,63,1
6414767-34_A_26_3401_12:10-PROJET2025-34-L-Ma-J-V-20,34,0
5925310-54_R_98_5402_11:43-PROJET2025-54-Semaine-17,54,1
6327125-17_A_50_1703_12:20-SETP2025-17-L-Ma-J-V-35,17,0
4523352-88_R_99_8801_15:00-RESEAU2023-88-Semaine-83-1101100,88,1
6414774-34_R_24_3401_11:33-PROJET2025-34-L-Ma-J-V-20,34,1
6419996-35_R_99_3502_11:27-SETP2025-35-Semaine-35,35,
6403284-36_A_49_3602_12:34-SETP2025-36-Semaine-33,36,0
6414275-07_R_97_0701_12:31-SETP2025-07-L-Ma-J-V-41,07,1
6355784-18_R_99_1803_11:41-SETP2025-18-Semaine-39,18,1
4542685-44_A_50_4401_12:00-RESEAU2023-44-Semaine-89,44,0
5340992-72_R_98_7201_12:05-PROJET2024-72-Semaine-74,72,1
6416430-33_A_50_3301_12:00-SETP2025-33-L-Ma-J-V-36,33,0
6416027-21_R_99_2101_11:18-SETP2025-21-Semaine-40,21,
6452615-T1_R_57_VT108_10:51-SETP2025-L1-Semaine-04,L1,1
6414769-34_A_21_3401_13:02-PROJET2025-34-L-Ma-J-V-20,34,0
6327204-17_R_99_1702_11:14-SETP2025-17-L-Ma-J-V-35,17,
6428418-61_R_99_6103_11:20-PROJET2025-61-Semaine-24,61,
6218549-84_R_99_8403_12:26-PROJET2025-84-Semaine-04,84,1
6261671-73_A_1_7302_09:20-PROJET2025-73-Semaine-16,73,
6415893-94_R_33_9401_11:00-PROJET2025-94-Semaine-07,94,1
4542740-44_R_99_4401_10:58-RESEAU2023-44-Semaine-89,44,1
4350568-40_R_99_4001_13:10-RESEAU2023-40-Semaine-04,40,1
5909225-NVN3_A_90_NVN301_11:05-PROJET2025-NVence3-Semaine-12,NVN3,
6252436-11_R_98_1103_12:37-SETP2025-11-Semaine-37,11,1
6368846-09_A_50_0905_12:03-PROJET2025-09-Semaine-35,09,0
4542689-44_A_50_4401_13:00-RESEAU2023-44-Semaine-89,44,0
6218533-84_A_46_8401_12:50-PROJET2025-84-Semaine-04,84,0
4515192-80_R_94_8001_11:10-RESEAU2023-80-Semaine-94,80,
6257295-59_R_98_5903_12:32-PROJET2025-59-Semaine-26,59,1
5097930-69_A_45_6901_13:00-PROJET2023-69-Semaine-15,69,0
6253069-14_R_99_1405_12:26-SETP2025-14-L-Ma-J-V-38,14,1
6424131-16_R_97_1604_11:18-SETP2025-16-Semaine-35,16,
6409577-57_A_50_5712_11:00-SETP2025-57-Semaine-06,57,
6253031-14_A_50_1408_12:35-SETP2025-14-L-Ma-J-V-38,14,0
6105164-76_A_50_7602_13:05-PROJET2025-76-Semaine-89,76,0
6257293-59_R_98_5903_10:32-PROJET2025-59-Semaine-26,59,1
4542742-44_R_99_4401_12:08-RESEAU2023-44-Semaine-89,44,1
6429271-15_R_99_1502_10:40-SETP2025-15-Semaine-11,15,
6102454-63_R_98_6304_12:00-PROJET2025-63-Semaine-72-1101100,63,1
5203697-68_R_99_6802_11:30-PROJET2024-68-Semaine-15,68,
6365942-20_R_99_2007_12:17-SETP2025-20-Semaine-42,20,1
6369691-30_A_50_3001_12:58-SETP2025-30-Semaine-32,30,0
6429222-15_R_99_1502_12:19-SETP2025-15-Semaine-11,15,1
6369681-30_A_50_3002_11:08-SETP2025-30-Semaine-32,30,
6412268-71_A_50_7101_11:30-PROJET2025-71-Semaine-80,71,0
4523344-88_A_50_8801_14:15-RESEAU2023-88-Semaine-83-1101100,88,0
6170643-L3_A_48__10:56-JANV2025-L3-Semaine-09,L3,0
6327123-17_A_50_1703_11:02-SETP2025-17-L-Ma-J-V-35,17,
6252478-11_A_49_1107_11:58-SETP2025-11-Semaine-37,11,0
6413096-38_R_99_3804_12:21-SETP2025-38-Semaine-41,38,1
6429236-15_R_99_1505_11:43-SETP2025-15-Semaine-11,15,1
6416020-21_R_99_2101_07:05-SETP2025-21-Semaine-40,21,
6413097-38_A_50_3805_12:06-SETP2025-38-Semaine-41,38,0
6416003-21_A_50_2104_13:09-SETP2025-21-Semaine-40,21,0
6413132-38_R_99_3805_12:44-SETP2025-38-Semaine-41,38,1
6403268-36_A_49_3604_12:03-SETP2025-36-Semaine-33,36,0
6327197-17_R_99_1707_11:27-SETP2025-17-L-Ma-J-V-35,17,1
5838469-52_A_6_5202_13:00-PROJET2025-52-Semaine-20,52,0
5408561-82_R_99_8202_14:20-PROJET2024-82-Semaine-93,82,1
6420004-35_R_99_3502_13:39-SETP2025-35-Semaine-35,35,1
6218520-84_A_50_8403_13:20-PROJET2025-84-Semaine-04,84,0
4669784-62_R_98_6203_12:00-RESEAU2023-62-Semaine-17,62,1
6369753-42_R_95_4201_12:00-PROJET2025-42-Semaine-83,42,1
6355824-18_A_50_1807_11:21-SETP2025-18-Semaine-39,18,0
5759385-NVN2_A_50_NVN201_11:00-PROJET2024-NVence2-Semaine-12,NVN2,
6409584-57_A_50_5709_12:45-SETP2025-57-Semaine-06,57,0
6102495-63_A_48_6304_12:50-PROJET2025-63-Semaine-72-1101100,63,0
6413135-38_A_50_3803_12:29-SETP2025-38-Semaine-41,38,0
4542686-44_A_50_4401_12:15-RESEAU2023-44-Semaine-89,44,0
6261658-73_R_95_7301_10:48-PROJET2025-73-Semaine-16,73,1
6420001-35_R_99_3503_13:06-SETP2025-35-Semaine-35,35,1
6366013-20_R_99_2006_11:52-SETP2025-20-Semaine-42,20,1
6252471-11_A_50_1104_10:36-SETP2025-11-Semaine-37,11,
6409609-57_R_99_5712_12:10-SETP2025-57-Semaine-06,57,1
6413092-38_R_99_3803_11:58-SETP2025-38-Semaine-41,38,1
6416428-33_A_50_3302_11:07-SETP2025-33-L-Ma-J-V-36,33,
6252479-11_A_49_1104_12:10-SETP2025-11-Semaine-37,11,0
6416365-51_R_98_5105_11:17-PROJET2025-51-Semaine-10,51,
6415998-21_A_50_2104_11:20-SETP2025-21-Semaine-40,21,
6414240-07_A_49_0705_11:07-SETP2025-07-L-Ma-J-V-41,07,
6409576-57_A_50_5710_10:45-SETP2025-57-Semaine-06,57,
6420736-81_A_49_8102_12:20-SETP2025-81-Semaine-40,81,0
5203725-68_R_99_6801_12:50-PROJET2024-68-Semaine-15,68,1
6422634-99_A_50_9901_12:10-SETP2025-99-Semaine-11,99,0
6170473-L2_R_98__11:17-JANV2025-L2-Semaine-09,L2,1
6414268-07_R_97_0710_11:26-SETP2025-07-L-Ma-J-V-41,07,
6428436-61_R_99_6104_12:20-PROJET2025-61-Semaine-24,61,1
6446536-05_R_49_0506_11:53-SETP2025-05-L-Ma-J-V-38,05,1
5340961-72_A_50_7201_11:35-PROJET2024-72-Semaine-74,72,0
6416057-21_R_99_2102_10:34-SETP2025-21-Semaine-40,21,
6420000-35_A_50_3504_13:05-SETP2025-35-Semaine-35,35,0
6170478-L2_R_98__11:01-JANV2025-L2-Semaine-09,L2,1
6170377-L2_A_49__11:24-JANV2025-L2-Semaine-09,L2,0
6403295-36_A_49_3602_11:32-SETP2025-36-Semaine-33,36,0
6424135-16_R_97_1602_12:48-SETP2025-16-Semaine-35,16,1
6416293-51_R_99_5104_13:05-PROJET2025-51-Semaine-10,51,1
6452854-T1_A_12_VT116_10:39-SETP2025-L1-Semaine-04,L1,0
4542739-44_R_99_4401_11:13-RESEAU2023-44-Semaine-89,44,1
6429322-15_R_99_1503_12:43-SETP2025-15-Semaine-11,15,1
6252963-14_R_99_1402_11:02-SETP2025-14-L-Ma-J-V-38,14,
6414248-07_A_49_0706_12:20-SETP2025-07-L-Ma-J-V-41,07,0
6420109-85_R_94_8501_11:55-PROJET2025-85-Semaine-06-1101100,85,1
6365933-20_A_50_2006_11:14-SETP2025-20-Semaine-42,20,
6412277-71_A_50_7101_13:40-PROJET2025-71-Semaine-80,71,0
4759144-47_R_99_4701_09:49-PROJET2023-47-Semaine-10,47,1
6402507-32_A_48_3201_11:01-SETP2025-32-Semaine-34,32,
4542687-44_A_50_4401_12:30-RESEAU2023-44-Semaine-89,44,0
5340993-72_R_98_7201_12:30-PROJET2024-72-Semaine-74,72,1
6412275-71_R_99_7101_13:16-PROJET2025-71-Semaine-80,71,1
6253019-14_A_50_1407_11:11-SETP2025-14-L-Ma-J-V-38,14,
6411439-70_A_50_7002_11:30-SETP2025-70-Semaine-35,70,0
6452792-T1_A_12_VT118_10:47-SETP2025-L1-Semaine-04,L1,0
4350581-40_A_50_4001_11:23-RESEAU2023-40-Semaine-04,40,0
6462514-31_A_47_3101_11:00-PROJET2025-31-Semaine-08,31,
6416462-33_R_99_3305_10:54-SETP2025-33-L-Ma-J-V-36,33,
6409582-57_A_50_5711_12:15-SETP2025-57-Semaine-06,57,0
6472661-50_R_99_5001_12:35-PROJET2025-50-Semaine-08,50,1
6403291-36_R_99_3604_11:32-SETP2025-36-Semaine-33,36,1
6140111-41_A_5_4102_12:15-PROJET2025-41-Semaine-05,41,0
6366017-20_A_50_2003_12:19-SETP2025-20-Semaine-42,20,0
6369694-30_R_99_3002_12:46-SETP2025-30-Semaine-32,30,1
6472703-50_A_50_5002_11:36-PROJET2025-50-Semaine-08,50,0
6402520-32_R_97_3202_11:30-SETP2025-32-Semaine-34,32,1
5925319-54_A_50_5402_12:29-PROJET2025-54-Semaine-17,54,0
6472683-50_A_50_5003_12:24-PROJET2025-50-Semaine-08,50,0
6252429-11_R_98_1104_11:25-SETP2025-11-Semaine-37,11,1
5340990-72_R_98_7201_11:15-PROJET2024-72-Semaine-74,72,1
6429319-15_R_99_1507_12:07-SETP2025-15-Semaine-11,15,1
6368824-09_A_49_0908_12:30-PROJET2025-09-Semaine-35,09,0
5203684-68_A_50_6803_12:43-PROJET2024-68-Semaine-15,68,0
6414266-07_R_97_0707_11:09-SETP2025-07-L-Ma-J-V-41,07,
6102452-63_R_98_6301_11:20-PROJET2025-63-Semaine-72-1101100,63,
6428096-98_A_50_9804_13:02-SETP2025-98-Semaine-08,98,0
5838468-52_A_6_5201_12:00-PROJET2025-52-Semaine-20,52,0
5838881-22_R_95_2206_12:45-PROJET2025-22-Semaine-20,22,1
6414236-07_R_97_0703_10:42-SETP2025-07-L-Ma-J-V-41,07,
6140090-41_R_99_4101_13:15-PROJET2025-41-Semaine-05,41,1
6414247-07_A_49_0702_12:10-SETP2025-07-L-Ma-J-V-41,07,0
6368882-09_R_98_0903_11:10-PROJET2025-09-Semaine-35,09,
6416280-51_A_49_5104_11:19-PROJET2025-51-Semaine-10,51,
6414245-07_A_49_0704_11:53-SETP2025-07-L-Ma-J-V-41,07,0
6170592-L3_A_48__11:18-JANV2025-L3-Semaine-09,L3,0
6472660-50_A_50_5001_12:00-PROJET2025-50-Semaine-08,50,0
5838853-22_R_95_2206_09:50-PROJET2025-22-Semaine-20,22,1
6428424-61_R_99_6104_10:40-PROJET2025-61-Semaine-24,61,
6252433-11_R_98_1106_12:13-SETP2025-11-Semaine-37,11,1
6018957-55_A_48_5501_12:00-PROJET2025-55-Semaine-08,55,0
6446556-05_R_50_0508_11:28-SETP2025-05-L-Ma-J-V-38,05,1
6462523-31_A_47_3101_12:40-PROJET2025-31-Semaine-08,31,0
6252472-11_A_49_1101_10:46-SETP2025-11-Semaine-37,11,
6414766-34_A_26_3401_11:02-PROJET2025-34-L-Ma-J-V-20,34,
6414238-07_A_49_0706_10:47-SETP2025-07-L-Ma-J-V-41,07,
6005523-B_R_99_VTB02_11:07-JANV2025-B-Semaine-03,B,1
