trip_id,route_id,vehicle_id,latitude,longitude,bearing,stop_id,timestamp_epoch
6420035-77_R_8_7701_08:10-PROJET2025-77-Semaine-05-1101100,77,PDV41,43.77395248413086,7.1910881996154785,175,21260,1757406171
6414767-34_A_26_3401_12:10-PROJET2025-34-L-Ma-J-V-20,34,TCA74034,43.684879302978516,7.2303242683410645,340,331,1757413406
6327127-17_A_50_1707_12:07-SETP2025-17-L-Ma-J-V-35,17,RLA166,43.675533294677734,7.220694541931152,167,485,1757413406
6429316-15_A_50_1506_11:40-SETP2025-15-Semaine-11,15,RLA319,43.689090728759766,7.331162929534912,141,8052,1757413406
6428428-61_A_50_6101_11:50-PROJET2025-61-Semaine-24,61,TCA73926,43.69368362426758,7.242325782775879,91,178,1757413406
6424158-16_R_96_1603_12:11-SETP2025-16-Semaine-35,16,RLA167,43.72328186035156,7.27281379699707,207,243,1757413406
6218532-84_A_46_8402_12:20-PROJET2025-84-Semaine-04,84,SUM1750,43.70825958251953,7.293034076690674,19,1010,1757413406
6412266-71_R_99_7101_11:02-PROJET2025-71-Semaine-80,71,TCA117299,43.70549011230469,7.247660160064697,260,1572,1757413406
6409607-57_R_99_5709_11:40-SETP2025-57-Semaine-06,57,RLA606,43.70262145996094,7.280388355255127,114,148,1757413406
6365928-20_A_50_2005_11:53-SETP2025-20-Semaine-42,20,RLA338,43.687339782714844,7.183579921722412,173,5082,1757413406
6327211-17_R_99_1706_09:46-SETP2025-17-L-Ma-J-V-35,17,RLA154,43.676300048828125,7.227839946746826,202,2712,1757409410
5838869-22_R_95_2205_11:45-PROJET2025-22-Semaine-20,22,PDV94,43.68891525268555,7.196473121643066,165,1158,1757413406
6102494-63_A_48_6303_12:30-PROJET2025-63-Semaine-72-1101100,63,TCA73941,43.71155548095703,7.261017799377441,167,1422,1757413406
6327196-17_R_99_1701_12:19-SETP2025-17-L-Ma-J-V-35,17,RLA158,43.690216064453125,7.194941520690918,52,2653,1757413406
6366017-20_A_50_2003_12:19-SETP2025-20-Semaine-42,20,RLA339,43.662879943847656,7.196042537689209,238,5246,1757413406
6368865-09_R_99_0906_12:25-PROJET2025-09-Semaine-35,09,TCA74758,43.669307708740234,7.210168361663818,165,2968,1757413406
6428316-60_A_50_6001_12:10-PROJET2025-60-Semaine-08,chouette:Line:4a8dc505-72e7-4b72-b186-a5b46e94fb82:LOC,TCA73933,43.704559326171875,7.225468635559082,320,814,1757413406
6428427-61_A_50_6103_12:10-PROJET2025-61-Semaine-24,61,TCA73931,43.6832160949707,7.2202677726745605,331,78,1757413406
6355827-18_A_50_1802_12:16-SETP2025-18-Semaine-39,18,RLA362,43.71296691894531,7.288840293884277,11,1505,1757413406
6252432-11_R_97_1105_12:01-SETP2025-11-Semaine-37,11,RLA356,43.710609436035156,7.263295650482178,66,921,1757413406
