trip_id,route_id,direction_id
4515184-80_A_46_8001_14:10-RESEAU2023-80-Semaine-94,80,
6429283-15_R_99_1502_15:28-SETP2025-15-Semaine-11,15,1
6368850-09_A_50_0903_14:05-PROJET2025-09-Semaine-35,09,
6412284-71_A_50_7102_14:40-PROJET2025-71-Semaine-80,71,0
6409591-57_A_50_5711_14:30-SETP2025-57-Semaine-06,57,0
6411417-70_R_99_7002_14:00-SETP2025-70-Semaine-35,70,
6416471-33_R_99_3305_13:54-SETP2025-33-L-Ma-J-V-36,33,
6218523-84_A_50_8401_15:55-PROJET2025-84-Semaine-04,84,0
6420741-81_A_49_8101_14:25-SETP2025-81-Semaine-40,81,0
6414770-34_A_25_3401_15:51-PROJET2025-34-L-Ma-J-V-20,34,0
5925305-54_R_99_5402_16:17-PROJET2025-54-Semaine-17,54,1
6446555-05_R_50_0501_15:27-SETP2025-05-L-Ma-J-V-38,05,1
6428294-60_A_50_6002_15:30-PROJET2025-60-Semaine-08,chouette:Line:4a8dc505-72e7-4b72-b186-a5b46e94fb82:LOC,0
6410634-64_A_50_6402_14:15-SETP2025-64-Semaine-37,64,
6472664-50_A_50_5001_14:24-PROJET2025-50-Semaine-08,50,0
4542755-44_R_99_4401_14:48-RESEAU2023-44-Semaine-89,44,1
5838876-22_A_45_2204_14:30-PROJET2025-22-Semaine-20,22,
6365956-20_R_99_2007_14:56-SETP2025-20-Semaine-42,20,1
6413116-38_A_50_3804_14:01-SETP2025-38-Semaine-41,38,0
6452693-T1_R_57_VT106_13:42-SETP2025-L1-Semaine-04,L1,1
6140097-41_R_98_4102_16:04-PROJET2025-41-Semaine-05,41,1
6327184-17_R_99_1704_16:01-SETP2025-17-L-Ma-J-V-35,17,1
6257343-59_A_45_5904_14:50-PROJET2025-59-Semaine-26,59,0
5909233-NVN3_A_90_NVN301_15:45-PROJET2025-NVence3-Semaine-12,NVN3,0
6452657-T1_R_57_VT113_14:10-SETP2025-L1-Semaine-04,L1,1
6102504-63_A_48_6304_16:05-PROJET2025-63-Semaine-72-1101100,63,0
6452869-T1_A_12_VT120_13:54-SETP2025-L1-Semaine-04,L1,0
6428348-60_A_50_6003_14:50-PROJET2025-60-Semaine-08,chouette:Line:4a8dc505-72e7-4b72-b186-a5b46e94fb82:LOC,0
4669798-62_A_48_6204_14:40-RESEAU2023-62-Semaine-17,62,0
6261685-73_R_95_7302_14:30-PROJET2025-73-Semaine-16,73,1
6424100-16_A_46_1601_13:59-SETP2025-16-Semaine-35,16,
6018959-55_A_48_5502_12:29-PROJET2025-55-Semaine-08,55,0
4542694-44_A_50_4401_14:25-RESEAU2023-44-Semaine-89,44,0
6005514-B_R_99_VTB04_14:17-JANV2025-B-Semaine-03,B,1
6355833-18_A_50_1802_13:59-SETP2025-18-Semaine-39,18,
