trip_id,route_id,direction_id
6402537-32_A_48_3202_15:19-SETP2025-32-Semaine-34,32,0
6412286-71_A_50_7102_15:20-PROJET2025-71-Semaine-80,71,0
6218561-84_R_95_8403_13:56-PROJET2025-84-Semaine-04,84,1
6412268-71_A_50_7101_11:30-PROJET2025-71-Semaine-80,71,0
6170405-L2_A_49__13:41-JANV2025-L2-Semaine-09,L2,0
6416004-21_A_50_2102_13:37-SETP2025-21-Semaine-40,21,
4542691-44_A_50_4401_13:30-RESEAU2023-44-Semaine-89,44,0
6416435-33_A_50_3301_13:30-SETP2025-33-L-Ma-J-V-36,33,
5759392-NVN2_A_50_NVN201_15:40-PROJET2024-NVence2-Semaine-12,NVN2,0
6252944-14_A_50_1406_13:28-SETP2025-14-L-Ma-J-V-38,14,
5408583-82_R_99_8202_16:40-PROJET2024-82-Semaine-93,82,1
6446552-05_A_99_0508_15:18-SETP2025-05-L-Ma-J-V-38,05,0
5673219-NVN1_A_48_NVN102_14:45-PROJET2024-NVence1-Semaine-15,NVN1,0
6140123-41_A_6_4102_13:18-PROJET2025-41-Semaine-05,41,
6414283-07_R_97_0705_13:39-SETP2025-07-L-Ma-J-V-41,07,
6412276-71_R_99_7101_13:56-PROJET2025-71-Semaine-80,71,1
6257344-59_R_96_5902_15:20-PROJET2025-59-Semaine-26,59,1
6446521-05_A_99_0501_14:43-SETP2025-05-L-Ma-J-V-38,05,0
6420001-35_R_99_3503_13:06-SETP2025-35-Semaine-35,35,
6261663-73_R_95_7301_15:10-PROJET2025-73-Semaine-16,73,1
5838886-22_R_95_2204_15:10-PROJET2025-22-Semaine-20,22,1
6428439-61_A_50_6104_14:50-PROJET2025-61-Semaine-24,61,0
6327134-17_A_50_1702_14:30-SETP2025-17-L-Ma-J-V-35,17,0
6005359-B_A_50_VTB03_13:41-JANV2025-B-Semaine-03,B,0
6411419-70_R_99_7002_15:00-SETP2025-70-Semaine-35,70,1
6414261-07_A_49_0705_14:14-SETP2025-07-L-Ma-J-V-41,07,0
6369773-42_A_5_4202_13:28-PROJET2025-42-Semaine-83,42,
5925312-54_R_98_5403_13:38-PROJET2025-54-Semaine-17,54,
6452658-T1_R_57_VT110_13:58-SETP2025-L1-Semaine-04,L1,1
6077791-58_R_99_5801_14:21-PROJET2025-58-Semaine-06,58,1
6365956-20_R_99_2007_14:56-SETP2025-20-Semaine-42,20,1
6369757-42_R_95_4202_14:14-PROJET2025-42-Semaine-83,42,1
4542694-44_A_50_4401_14:25-RESEAU2023-44-Semaine-89,44,0
4542697-44_A_50_4401_15:10-RESEAU2023-44-Semaine-89,44,0
6452869-T1_A_12_VT120_13:54-SETP2025-L1-Semaine-04,L1,0
6252440-11_R_97_1105_13:37-SETP2025-11-Semaine-37,11,
5838483-52_R_5_5202_13:59-PROJET2025-52-Semaine-20,52,
6428291-60_R_99_6002_14:00-PROJET2025-60-Semaine-08,chouette:Line:4a8dc505-72e7-4b72-b186-a5b46e94fb82:LOC,1
5925321-54_A_50_5403_14:24-PROJET2025-54-Semaine-17,54,0
6252979-14_A_50_1408_15:07-SETP2025-14-L-Ma-J-V-38,14,0
5759390-NVN2_A_50_NVN201_14:20-PROJET2024-NVence2-Semaine-12,NVN2,0
6252438-11_R_97_1101_13:13-SETP2025-11-Semaine-37,11,
4542749-44_R_99_4401_14:18-RESEAU2023-44-Semaine-89,44,1
