trip_id,route_id,vehicle_id,latitude,longitude,bearing,stop_id,timestamp_epoch
6428363-60_A_50_6001_21:10-PROJET2025-60-Semaine-08,chouette:Line:4a8dc505-72e7-4b72-b186-a5b46e94fb82:LOC,TCA73933,43.69282913208008,7.2442121505737305,44,177,1757444237
6252950-14_A_50_1405_21:05-SETP2025-14-L-Ma-J-V-38,14,RLA486,43.71360397338867,7.284328460693359,167,557,1757445710
6369837-49_R_98_4901_18:10-PROJET2025-49-Semaine-08,chouette:Line:07759d26-564a-4043-bd2d-d1e0c98d686c:LOC,TCA109005,43.7291259765625,7.168928623199463,338,3049,1757436814
4669772-62_R_99_6206_21:35-RESEAU2023-62-Semaine-17,62,TCA108188,43.790802001953125,7.243265628814697,357,6164,1757445710
6365997-20_R_99_2006_21:15-SETP2025-20-Semaine-42,20,RLA332,43.66495132446289,7.193475723266602,167,5121,1757445710
6409675-57_A_50_5712_20:40-SETP2025-57-Semaine-06,57,RLA621,43.73084259033203,7.249344348907471,246,772,1757445710
6416337-51_R_99_5102_19:50-PROJET2025-51-Semaine-10,51,TCA115117,43.67611312866211,7.225467681884766,115,346,1757442207
5838838-22_R_95_2210_21:10-PROJET2025-22-Semaine-20,22,PDV110805,43.76137924194336,7.19651985168457,214,2994,1757445710
6414377-07_R_97_0705_21:15-SETP2025-07-L-Ma-J-V-41,07,RLA438,43.70831298828125,7.291622161865234,269,1250,1757445710
3541230-39_R_99_3901_19:30-RESEAU2022-39-Mar-Ven-04-0101100,39,TCA117300,43.73143005371094,7.286831855773926,247,568,1757438308
6428495-61_R_99_6105_21:40-PROJET2025-61-Semaine-24,61,TCA108189,43.69215393066406,7.244658470153809,338,2829,1757445710
6429307-15_A_50_1505_20:50-SETP2025-15-Semaine-11,15,RLA318,43.691585540771484,7.332854270935059,164,8148,1757445710
6416322-51_A_49_5103_19:47-PROJET2025-51-Semaine-10,51,TCA73914,43.72188949584961,7.186728000640869,179,2832,1757442388
6416503-33_R_98_3305_21:20-SETP2025-33-L-Ma-J-V-36,33,RLA174,43.69573974609375,7.298739910125732,323,1035,1757445710
6429269-15_A_50_1503_20:00-SETP2025-15-Semaine-11,15,RLA326,43.74911117553711,7.318229675292969,336,148,1757445710
5422161-75_R_97_7501_21:00-PROJET2024-75-Semaine-86-1101100,75,TCA73928,43.70279312133789,7.251832485198975,92,761,1757445710
6252516-11_A_50_1102_21:00-SETP2025-11-Semaine-37,11,RLA374,43.6956787109375,7.254271984100342,255,451,1757445710
5838827-22_A_45_2207_21:30-PROJET2025-22-Semaine-20,22,PDV86,43.67667770385742,7.199710369110107,337,2852,1757445710
6409677-57_A_50_5704_21:20-SETP2025-57-Semaine-06,57,RLA610,43.70350646972656,7.288528919219971,201,87,1757445710
6416043-21_R_99_2106_19:20-SETP2025-21-Semaine-40,21,RLA313,43.74862289428711,7.317633152008057,332,2971,1757442901
6428365-60_A_50_6002_21:30-PROJET2025-60-Semaine-08,chouette:Line:4a8dc505-72e7-4b72-b186-a5b46e94fb82:LOC,TCA73925,43.692527770996094,7.244028568267822,159,2997,1757445710
6409666-57_R_99_5701_21:20-SETP2025-57-Semaine-06,57,RLA618,43.73259735107422,7.24947452545166,337,509,1757445710
5838908-22_R_95_2208_19:25-PROJET2025-22-Semaine-20,22,PDV110809,43.722381591796875,7.18662691116333,250,2994,1757442189
6472695-50_A_50_5003_19:48-PROJET2025-50-Semaine-08,50,TCA106793,43.72218704223633,7.186724662780762,354,2853,1757445710
4542720-44_A_50_4401_21:25-RESEAU2023-44-Semaine-89,44,TCA106736,43.66501998901367,7.151154518127441,341,4145,1757445710
6414373-07_R_97_0701_21:35-SETP2025-07-L-Ma-J-V-41,07,RLA463,43.698970794677734,7.284946918487549,3,701,1757445710
6446632-05_A_99_0506_21:30-SETP2025-05-L-Ma-J-V-38,05,RLA357,43.700706481933594,7.269190788269043,157,1434,1757445710
6416047-21_R_99_2101_21:15-SETP2025-21-Semaine-40,21,RLA343,43.66022872924805,7.150335788726807,23,4084,1757445710
6218557-84_R_99_8402_19:01-PROJET2025-84-Semaine-04,84,SUM1746,43.70806884765625,7.2927961349487305,174,117,1757439474
6409676-57_A_50_5703_21:00-SETP2025-57-Semaine-06,57,RLA625,43.702091217041016,7.256202220916748,359,1016,1757445710
5422160-75_R_97_7501_20:03-PROJET2024-75-Semaine-86-1101100,75,TCA1295,43.72237014770508,7.227268695831299,91,503,1757440719
6416321-51_A_49_5104_20:05-PROJET2025-51-Semaine-10,51,TCA115515,43.72231674194336,7.1866350173950195,212,2832,1757445022
6257303-59_R_98_5901_20:15-PROJET2025-59-Semaine-26,59,PDV106,43.86070251464844,7.199201583862305,54,7146,1757441856
6102526-63_A_48_6305_21:00-PROJET2025-63-Semaine-72-1101100,63,TCA73939,43.74687194824219,7.244357109069824,38,1334,1757445710
6252523-11_R_97_1108_21:20-SETP2025-11-Semaine-37,11,RLA359,43.70508575439453,7.2508721351623535,191,1315,1757445710
6416323-51_R_98_5105_20:10-PROJET2025-51-Semaine-10,51,TCA115514,43.676456451416016,7.225194931030273,219,346,1757442960
6428489-61_R_99_6103_21:20-PROJET2025-61-Semaine-24,61,TCA71107,43.69231033325195,7.244534015655518,334,2829,1757445710
6429337-15_R_99_1504_21:10-SETP2025-15-Semaine-11,15,RLA317,43.70363235473633,7.322872161865234,300,8160,1757445710
6414375-07_R_97_0706_21:00-SETP2025-07-L-Ma-J-V-41,07,RLA449,43.733192443847656,7.288939952850342,68,640,1757445710
6355812-18_R_99_1807_21:05-SETP2025-18-Semaine-39,18,RLA616,43.71449661254883,7.274704456329346,151,835,1757445710
4542717-44_A_50_4401_20:30-RESEAU2023-44-Semaine-89,44,TCA108034,43.68576431274414,7.14944314956665,284,4148,1757445376
6420022-35_R_99_3501_19:20-SETP2025-35-Semaine-35,35,RLA133,43.74942398071289,7.318103790283203,349,2686,1757442242
6355855-18_A_50_1805_21:05-SETP2025-18-Semaine-39,18,RLA609,43.714874267578125,7.279516220092773,278,126,1757445710
6446631-05_A_99_0510_21:05-SETP2025-05-L-Ma-J-V-38,05,RLA354,43.7224006652832,7.275543689727783,26,65,1757445710
6416018-21_A_50_2103_21:00-SETP2025-21-Semaine-40,21,RLA342,43.664615631103516,7.154365062713623,342,4026,1757445710
6365998-20_A_50_2004_21:15-SETP2025-20-Semaine-42,20,RLA321,43.661949157714844,7.193740367889404,243,5020,1757445710
6368776-09_A_50_0904_21:00-PROJET2025-09-Semaine-35,09,TCA108951,43.663814544677734,7.152482509613037,138,4137,1757445710
6327161-17_R_99_1704_21:10-SETP2025-17-L-Ma-J-V-35,17,RLA163,43.6777229309082,7.218819618225098,323,94,1757445710
6472717-50_A_50_5002_20:10-PROJET2025-50-Semaine-08,50,TCA115159,43.72266387939453,7.1865234375,1,2853,1757443120
6414369-07_A_49_0710_21:20-SETP2025-07-L-Ma-J-V-41,07,RLA432,43.73769760131836,7.302663803100586,240,908,1757445710
6409665-57_R_99_5707_21:00-SETP2025-57-Semaine-06,57,RLA608,43.704124450683594,7.261992931365967,60,457,1757445710
6429306-15_A_50_1502_21:20-SETP2025-15-Semaine-11,15,RLA336,43.70069122314453,7.276691913604736,295,2581,1757445710
6428363-60_A_50_6001_21:10-PROJET2025-60-Semaine-08,chouette:Line:4a8dc505-72e7-4b72-b186-a5b46e94fb82:LOC,TCA73923,43.70423126220703,7.225854396820068,307,814,1757445710
6428493-61_A_50_6104_21:30-PROJET2025-61-Semaine-24,61,TCA73970,43.677528381347656,7.228439807891846,10,412,1757445710
5203718-68_A_50_6805_21:10-PROJET2024-68-Semaine-15,68,PDV20,43.78252029418945,7.211729049682617,353,21572,1757445710
6368766-09_R_99_0901_21:30-PROJET2025-09-Semaine-35,09,TCA108671,43.66880798339844,7.2105536460876465,242,5246,1757445710
6402593-32_A_48_3202_21:20-SETP2025-32-Semaine-34,32,RLA340,43.677490234375,7.224823951721191,283,415,1757445710
6369765-42_A_5_4202_19:10-PROJET2025-42-Semaine-83,42,TCA108192,43.6854133605957,7.149429798126221,49,4056,1757445710
6252524-11_R_97_1101_21:00-SETP2025-11-Semaine-37,11,RLA373,43.72768783569336,7.265773773193359,58,596,1757445710
6416046-21_R_99_2102_20:50-SETP2025-21-Semaine-40,21,RLA311,43.66292190551758,7.1939849853515625,170,5220,1757445710
4669746-62_A_48_6201_19:40-RESEAU2023-62-Semaine-17,62,TCA73927,43.692562103271484,7.24436616897583,338,2828,1757442572
6420131-85_A_47_8501_19:10-PROJET2025-85-Semaine-06-1101100,85,SUM1757,43.73899841308594,7.32058572769165,223,7022,1757438655
6428487-61_R_99_6101_21:00-PROJET2025-61-Semaine-24,61,TCA73968,43.68677520751953,7.212645053863525,119,745,1757445710
6403269-36_A_49_3603_19:00-SETP2025-36-Semaine-33,36,RLA13,43.73240661621094,7.28530216217041,178,2826,1757438885
6368767-09_R_99_0905_21:00-PROJET2025-09-Semaine-35,09,TCA109585,43.65923309326172,7.1460065841674805,291,4029,1757445710
6252971-14_R_99_1408_21:00-SETP2025-14-L-Ma-J-V-38,14,RLA436,43.73537063598633,7.306366443634033,59,7129,1757445280
6428367-60_R_99_6003_21:20-PROJET2025-60-Semaine-08,chouette:Line:4a8dc505-72e7-4b72-b186-a5b46e94fb82:LOC,TCA73932,43.71001052856445,7.215498447418213,9,636,1757445710
6428492-61_A_50_6102_21:10-PROJET2025-61-Semaine-24,61,TCA73965,43.683250427246094,7.220282554626465,329,78,1757445710
6416348-51_A_49_5102_19:10-PROJET2025-51-Semaine-10,51,TCA115157,43.67687225341797,7.228180408477783,196,2832,1757437845
5838463-52_R_5_5202_18:15-PROJET2025-52-Semaine-20,52,TCA115114,43.711002349853516,7.195981025695801,262,1235,1757436526
6365999-20_R_99_2007_21:30-SETP2025-20-Semaine-42,20,RLA316,43.68753433227539,7.181508541107178,215,5059,1757445710
6368771-09_A_50_0907_21:30-PROJET2025-09-Semaine-35,09,TCA108952,43.722740173339844,7.107247352600098,22,3146,1757445710
6416308-51_R_99_5103_17:46-PROJET2025-51-Semaine-10,51,TCA117297,43.676353454589844,7.227856636047363,45,2832,1757436487
3541231-39_R_99_3901_21:00-RESEAU2022-39-Mar-Ven-04-0101100,39,TCA73926,43.731285095214844,7.28656005859375,65,1227,1757445710
4523348-88_A_49_8801_19:30-RESEAU2023-88-Semaine-83-1101100,88,SUM1750,43.74887466430664,7.284584045410156,135,7045,1757445710
6409664-57_R_99_5709_20:40-SETP2025-57-Semaine-06,57,RLA606,43.699771881103516,7.2742133140563965,44,1381,1757445710
