trip_id,stop_sequence,stop_id,arrival_time,departure_time
6365942-20_R_99_2007_12:17-SETP2025-20-Semaine-42,0,5059,,1757413020
6365942-20_R_99_2007_12:17-SETP2025-20-Semaine-42,1,5005,1757413057,1757413057
6365942-20_R_99_2007_12:17-SETP2025-20-Semaine-42,2,5164,1757413114,1757413114
6365942-20_R_99_2007_12:17-SETP2025-20-Semaine-42,3,5131,1757413197,1757413197
6365942-20_R_99_2007_12:17-SETP2025-20-Semaine-42,4,5244,1757413292,1757413292
6365942-20_R_99_2007_12:17-SETP2025-20-Semaine-42,5,5114,1757413337,1757413337
6365942-20_R_99_2007_12:17-SETP2025-20-Semaine-42,6,5149,1757413381,1757413381
6365942-20_R_99_2007_12:17-SETP2025-20-Semaine-42,7,5070,1757413433,1757413433
6365942-20_R_99_2007_12:17-SETP2025-20-Semaine-42,8,5158,1757413500,1757413500
6355825-18_A_50_1804_11:39-SETP2025-18-Semaine-39,0,1152,,1757410740
6355825-18_A_50_1804_11:39-SETP2025-18-Semaine-39,1,118,1757410782,1757410782
6355825-18_A_50_1804_11:39-SETP2025-18-Semaine-39,2,1457,1757410860,1757410860
6355825-18_A_50_1804_11:39-SETP2025-18-Semaine-39,3,1250,,1757410980
6355825-18_A_50_1804_11:39-SETP2025-18-Semaine-39,4,55,1757411070,1757411070
6355825-18_A_50_1804_11:39-SETP2025-18-Semaine-39,5,1505,1757411160,1757411160
6355825-18_A_50_1804_11:39-SETP2025-18-Semaine-39,6,955,1757411280,1757411280
6355825-18_A_50_1804_11:39-SETP2025-18-Semaine-39,7,866,1757411340,1757411340
6355825-18_A_50_1804_11:39-SETP2025-18-Semaine-39,8,754,1757411367,1757411367
6355825-18_A_50_1804_11:39-SETP2025-18-Semaine-39,9,393,1757411413,1757411413
6355825-18_A_50_1804_11:39-SETP2025-18-Semaine-39,10,1512,1757411460,1757411460
6355825-18_A_50_1804_11:39-SETP2025-18-Semaine-39,11,27,,1757411580
6355825-18_A_50_1804_11:39-SETP2025-18-Semaine-39,12,276,1757411705,1757411705
6355825-18_A_50_1804_11:39-SETP2025-18-Semaine-39,13,1502,1757411760,1757411760
6355825-18_A_50_1804_11:39-SETP2025-18-Semaine-39,14,1028,1757411792,1757411792
6355825-18_A_50_1804_11:39-SETP2025-18-Semaine-39,15,1303,,1757411855
6355825-18_A_50_1804_11:39-SETP2025-18-Semaine-39,16,344,1757411936,1757411936
6355825-18_A_50_1804_11:39-SETP2025-18-Semaine-39,17,422,1757412000,1757412000
6355825-18_A_50_1804_11:39-SETP2025-18-Semaine-39,18,126,1757412054,1757412054
6355825-18_A_50_1804_11:39-SETP2025-18-Semaine-39,19,834,1757412115,1757412115
6355825-18_A_50_1804_11:39-SETP2025-18-Semaine-39,20,1271,1757412180,1757412180
6355825-18_A_50_1804_11:39-SETP2025-18-Semaine-39,21,1106,1757412212,1757412212
6355825-18_A_50_1804_11:39-SETP2025-18-Semaine-39,22,380,1757412237,1757412237
6355825-18_A_50_1804_11:39-SETP2025-18-Semaine-39,25,201,,1757412420
6355825-18_A_50_1804_11:39-SETP2025-18-Semaine-39,26,376,1757412486,1757412486
6355825-18_A_50_1804_11:39-SETP2025-18-Semaine-39,27,786,1757412549,1757412549
6355825-18_A_50_1804_11:39-SETP2025-18-Semaine-39,28,57,1757412600,1757412600
6355825-18_A_50_1804_11:39-SETP2025-18-Semaine-39,29,823,1757412690,1757412690
6355825-18_A_50_1804_11:39-SETP2025-18-Semaine-39,30,627,1757412730,1757412730
6355825-18_A_50_1804_11:39-SETP2025-18-Semaine-39,31,982,1757412780,1757412780
6355825-18_A_50_1804_11:39-SETP2025-18-Semaine-39,32,234,1757412840,1757412840
6355825-18_A_50_1804_11:39-SETP2025-18-Semaine-39,33,482,1757412933,1757412933
6355825-18_A_50_1804_11:39-SETP2025-18-Semaine-39,34,706,1757413080,1757413080
6355825-18_A_50_1804_11:39-SETP2025-18-Semaine-39,35,937,1757413167,1757413167
6355825-18_A_50_1804_11:39-SETP2025-18-Semaine-39,36,1249,1757413260,
6462521-31_A_47_3102_12:15-PROJET2025-31-Semaine-08,0,503,,1757412900
6462521-31_A_47_3102_12:15-PROJET2025-31-Semaine-08,1,669,1757412947,1757412947
6462521-31_A_47_3102_12:15-PROJET2025-31-Semaine-08,2,839,1757413032,1757413032
6462521-31_A_47_3102_12:15-PROJET2025-31-Semaine-08,3,572,1757413080,1757413080
6462521-31_A_47_3102_12:15-PROJET2025-31-Semaine-08,4,362,1757413129,1757413129
6462521-31_A_47_3102_12:15-PROJET2025-31-Semaine-08,5,586,1757413188,1757413188
6462521-31_A_47_3102_12:15-PROJET2025-31-Semaine-08,6,582,1757413200,1757413200
6462521-31_A_47_3102_12:15-PROJET2025-31-Semaine-08,7,1369,1757413327,1757413327
6462521-31_A_47_3102_12:15-PROJET2025-31-Semaine-08,8,1554,1757413350,1757413350
6462521-31_A_47_3102_12:15-PROJET2025-31-Semaine-08,9,751,1757413350,1757413350
6462521-31_A_47_3102_12:15-PROJET2025-31-Semaine-08,10,1556,1757413496,1757413496
6462521-31_A_47_3102_12:15-PROJET2025-31-Semaine-08,11,1625,1757413500,1757413500
6462521-31_A_47_3102_12:15-PROJET2025-31-Semaine-08,12,958,1757413572,1757413572
6462521-31_A_47_3102_12:15-PROJET2025-31-Semaine-08,13,244,1757413629,1757413629
