trip_id,route_id,direction_id
6170380-L2_A_49__12:25-JANV2025-L2-Semaine-09,L2,0
6355832-18_A_50_1805_13:42-SETP2025-18-Semaine-39,18,0
6424135-16_R_97_1602_12:48-SETP2025-16-Semaine-35,16,
6355827-18_A_50_1802_12:16-SETP2025-18-Semaine-39,18,
5340997-72_R_98_7201_14:10-PROJET2024-72-Semaine-74,72,1
6420008-35_R_99_3503_15:18-SETP2025-35-Semaine-35,35,1
6327125-17_A_50_1703_12:20-SETP2025-17-L-Ma-J-V-35,17,
6428446-61_R_99_6102_13:40-PROJET2025-61-Semaine-24,61,1
5097936-69_R_90_6901_14:25-PROJET2023-69-Semaine-15,69,1
6428432-61_R_99_6101_12:40-PROJET2025-61-Semaine-24,61,
6257341-59_A_45_5904_12:50-PROJET2025-59-Semaine-26,59,0
6446525-05_A_98_0504_14:19-SETP2025-05-L-Ma-J-V-38,05,0
5838875-22_A_45_2205_14:00-PROJET2025-22-Semaine-20,22,0
6409585-57_A_50_5710_13:00-SETP2025-57-Semaine-06,57,0
6368814-09_A_49_0905_14:02-PROJET2025-09-Semaine-35,09,0
6218550-84_R_99_8402_13:01-PROJET2025-84-Semaine-04,84,1
4350570-40_R_99_4001_14:10-RESEAU2023-40-Semaine-04,40,1
6416434-33_A_50_3305_13:12-SETP2025-33-L-Ma-J-V-36,33,0
6252989-14_A_50_1403_13:17-SETP2025-14-L-Ma-J-V-38,14,0
6414273-07_R_97_0703_12:13-SETP2025-07-L-Ma-J-V-41,07,
6252445-11_R_97_1104_14:37-SETP2025-11-Semaine-37,11,1
5203705-68_A_50_6802_13:05-PROJET2024-68-Semaine-15,68,0
5925303-54_R_99_5401_14:10-PROJET2025-54-Semaine-17,54,1
5909228-NVN3_A_90_NVN301_12:50-PROJET2025-NVence3-Semaine-12,NVN3,
4350593-40_R_99_4001_15:10-RESEAU2023-40-Semaine-04,40,1
4515174-80_R_95_8001_14:38-RESEAU2023-80-Semaine-94,80,1
6412107-37_R_99_3701_14:19-SETP2025-37-Semaine-37,37,1
6446538-05_R_49_0507_13:17-SETP2025-05-L-Ma-J-V-38,05,1
6327126-17_A_50_1705_12:33-SETP2025-17-L-Ma-J-V-35,17,
6428347-60_R_99_6003_14:20-PROJET2025-60-Semaine-08,chouette:Line:4a8dc505-72e7-4b72-b186-a5b46e94fb82:LOC,1
6140112-41_A_5_4101_12:45-PROJET2025-41-Semaine-05,41,
6409614-57_R_99_5711_13:25-SETP2025-57-Semaine-06,57,1
6429321-15_A_50_1508_13:42-SETP2025-15-Semaine-11,15,0
6410635-64_R_99_6401_14:30-SETP2025-64-Semaine-37,64,1
6252480-11_A_50_1101_12:24-SETP2025-11-Semaine-37,11,
6252434-11_R_97_1102_12:25-SETP2025-11-Semaine-37,11,
6252481-11_A_49_1108_12:34-SETP2025-11-Semaine-37,11,
6416003-21_A_50_2104_13:09-SETP2025-21-Semaine-40,21,0
4603451-83_A_47_8301_13:50-RESEAU2023-83-Semaine-03,83,
5673238-NVN1_A_48_NVN102_12:45-PROJET2024-NVence1-Semaine-15,NVN1,
6369725-30_R_99_3001_13:30-SETP2025-30-Semaine-32,30,1
6368847-09_A_50_0901_12:33-PROJET2025-09-Semaine-35,09,
6368888-09_R_98_0902_14:10-PROJET2025-09-Semaine-35,09,1
6402529-32_R_97_3202_13:31-SETP2025-32-Semaine-34,32,1
6252482-11_A_50_1105_12:48-SETP2025-11-Semaine-37,11,
6368851-09_A_50_0908_14:33-PROJET2025-09-Semaine-35,09,0
6005544-B_R_99_VTB03_12:35-JANV2025-B-Semaine-03,B,1
