trip_id,route_id,vehicle_id,latitude,longitude,bearing,stop_id,timestamp_epoch
6368804-09_A_49_0906_19:32-PROJET2025-09-Semaine-35,09,TCA74758,43.66083526611328,7.190915584564209,60,5221,1757441147
6428361-60_A_50_6001_20:10-PROJET2025-60-Semaine-08,chouette:Line:4a8dc505-72e7-4b72-b186-a5b46e94fb82:LOC,TCA73933,43.69227981567383,7.24412202835083,164,2997,1757441147
6428453-61_R_99_6103_16:20-PROJET2025-61-Semaine-24,61,TCA73931,43.73134231567383,7.287881374359131,237,177,1757429815
6253025-14_A_50_1405_19:45-SETP2025-14-L-Ma-J-V-38,14,RLA486,43.708580017089844,7.287604808807373,192,2688,1757441147
6369837-49_R_98_4901_18:10-PROJET2025-49-Semaine-08,chouette:Line:07759d26-564a-4043-bd2d-d1e0c98d686c:LOC,TCA109005,43.7291259765625,7.168928623199463,338,3049,1757436814
6429261-15_R_99_1501_20:05-SETP2025-15-Semaine-11,15,RLA334,43.69194030761719,7.332732200622559,335,8095,1757441147
4669736-62_R_98_6206_20:00-RESEAU2023-62-Semaine-17,62,TCA108188,43.74334716796875,7.214736461639404,146,1417,1757441147
6365990-20_R_99_2006_20:00-SETP2025-20-Semaine-42,20,RLA332,43.670902252197266,7.19010066986084,190,,1757441147
6413138-38_R_99_3801_20:00-SETP2025-38-Semaine-41,38,RLA36,43.70028305053711,7.266960620880127,227,2651,1757441147
6355809-18_R_99_1808_20:00-SETP2025-18-Semaine-39,18,RLA604,43.72347640991211,7.259880542755127,157,1431,1757441147
6409660-57_R_99_5712_19:30-SETP2025-57-Semaine-06,57,RLA621,43.70219802856445,7.281673431396484,111,148,1757441147
6409661-57_R_99_5706_20:00-SETP2025-57-Semaine-06,57,RLA622,43.72945785522461,7.253453731536865,118,708,1757441147
6355851-18_A_50_1806_19:52-SETP2025-18-Semaine-39,18,RLA607,43.71965026855469,7.293951034545898,2,754,1757441147
6416337-51_R_99_5102_19:50-PROJET2025-51-Semaine-10,51,TCA115117,43.69700241088867,7.2072625160217285,148,972,1757441147
6414504-07_R_97_0703_20:05-SETP2025-07-L-Ma-J-V-41,07,RLA451,43.69917297363281,7.285769462585449,100,909,1757441147
5838896-22_R_95_2210_18:50-PROJET2025-22-Semaine-20,22,PDV110805,43.67671585083008,7.19968843460083,334,2852,1757441147
6414359-07_R_97_0705_19:53-SETP2025-07-L-Ma-J-V-41,07,RLA438,43.71468734741211,7.289292335510254,12,2870,1757441147
3541230-39_R_99_3901_19:30-RESEAU2022-39-Mar-Ven-04-0101100,39,TCA117300,43.73143005371094,7.286831855773926,247,568,1757438308
