trip_id,stop_sequence,stop_id,arrival_time,departure_time
6402598-32_A_48_3202_22:15-SETP2025-32-Semaine-34,0,2831,,1757448900
6402598-32_A_48_3202_22:15-SETP2025-32-Semaine-34,1,412,1757448950,1757448950
6402598-32_A_48_3202_22:15-SETP2025-32-Semaine-34,2,602,1757448971,1757448971
6402598-32_A_48_3202_22:15-SETP2025-32-Semaine-34,3,1269,1757449032,1757449032
6402598-32_A_48_3202_22:15-SETP2025-32-Semaine-34,4,415,1757449105,1757449105
6402598-32_A_48_3202_22:15-SETP2025-32-Semaine-34,5,34,1757449140,1757449140
6402598-32_A_48_3202_22:15-SETP2025-32-Semaine-34,6,196,1757449195,1757449195
6402598-32_A_48_3202_22:15-SETP2025-32-Semaine-34,7,1102,1757449252,1757449252
6402598-32_A_48_3202_22:15-SETP2025-32-Semaine-34,8,1079,1757449299,1757449299
6402598-32_A_48_3202_22:15-SETP2025-32-Semaine-34,9,809,1757449324,1757449324
6402598-32_A_48_3202_22:15-SETP2025-32-Semaine-34,10,198,1757449380,
6368769-09_R_99_0907_22:30-PROJET2025-09-Semaine-35,0,2968,,1757449800
6368769-09_R_99_0907_22:30-PROJET2025-09-Semaine-35,1,5246,1757450008,1757450008
6368769-09_R_99_0907_22:30-PROJET2025-09-Semaine-35,2,5073,1757450100,1757450100
6368769-09_R_99_0907_22:30-PROJET2025-09-Semaine-35,3,5087,1757450179,1757450179
6368769-09_R_99_0907_22:30-PROJET2025-09-Semaine-35,4,4105,1757450288,1757450288
6368769-09_R_99_0907_22:30-PROJET2025-09-Semaine-35,5,4159,,1757450329
6368769-09_R_99_0907_22:30-PROJET2025-09-Semaine-35,6,4102,1757450388,1757450388
6368769-09_R_99_0907_22:30-PROJET2025-09-Semaine-35,7,4098,1757450460,1757450460
6368769-09_R_99_0907_22:30-PROJET2025-09-Semaine-35,8,4109,1757450523,1757450523
6368769-09_R_99_0907_22:30-PROJET2025-09-Semaine-35,9,4061,1757450598,1757450598
6368769-09_R_99_0907_22:30-PROJET2025-09-Semaine-35,10,4138,1757450682,1757450682
6368769-09_R_99_0907_22:30-PROJET2025-09-Semaine-35,11,4144,,1757450760
6368769-09_R_99_0907_22:30-PROJET2025-09-Semaine-35,12,4001,1757450815,1757450815
6368769-09_R_99_0907_22:30-PROJET2025-09-Semaine-35,13,4003,1757450854,1757450854
6368769-09_R_99_0907_22:30-PROJET2025-09-Semaine-35,14,4304,,1757450879
6368769-09_R_99_0907_22:30-PROJET2025-09-Semaine-35,15,4029,1757450909,1757450909
6368769-09_R_99_0907_22:30-PROJET2025-09-Semaine-35,16,4023,1757451035,1757451035
6368769-09_R_99_0907_22:30-PROJET2025-09-Semaine-35,17,4063,1757451087,1757451087
6368769-09_R_99_0907_22:30-PROJET2025-09-Semaine-35,18,4270,1757451135,1757451135
6368769-09_R_99_0907_22:30-PROJET2025-09-Semaine-35,19,4269,,1757451198
6368769-09_R_99_0907_22:30-PROJET2025-09-Semaine-35,20,4272,1757451300,1757451300
6368769-09_R_99_0907_22:30-PROJET2025-09-Semaine-35,21,3076,1757451612,1757451612
6368769-09_R_99_0907_22:30-PROJET2025-09-Semaine-35,22,3022,1757451654,1757451654
6368769-09_R_99_0907_22:30-PROJET2025-09-Semaine-35,23,3254,1757451683,1757451683
6368769-09_R_99_0907_22:30-PROJET2025-09-Semaine-35,24,3238,1757451726,1757451726
6368769-09_R_99_0907_22:30-PROJET2025-09-Semaine-35,25,3233,1757451854,1757451854
6368769-09_R_99_0907_22:30-PROJET2025-09-Semaine-35,26,3059,1757451882,1757451882
6368769-09_R_99_0907_22:30-PROJET2025-09-Semaine-35,27,3146,1757451900,
6170747-L3_R_97__22:00-JANV2025-L3-Semaine-09,0,2602,,1757448000
6170747-L3_R_97__22:00-JANV2025-L3-Semaine-09,1,2603,1757448120,1757448120
6170747-L3_R_97__22:00-JANV2025-L3-Semaine-09,2,2605,1757448180,1757448180
6170747-L3_R_97__22:00-JANV2025-L3-Semaine-09,3,2607,1757448300,1757448300
6170747-L3_R_97__22:00-JANV2025-L3-Semaine-09,4,2609,1757448420,1757448420
6170747-L3_R_97__22:00-JANV2025-L3-Semaine-09,5,2774,1757448540,1757448540
6170747-L3_R_97__22:00-JANV2025-L3-Semaine-09,6,2613,1757448600,1757448600
6170747-L3_R_97__22:00-JANV2025-L3-Semaine-09,7,2615,1757448660,1757448660
6170747-L3_R_97__22:00-JANV2025-L3-Semaine-09,8,2617,1757448780,1757448780
6170747-L3_R_97__22:00-JANV2025-L3-Semaine-09,9,2775,1757448900,1757448900
6170747-L3_R_97__22:00-JANV2025-L3-Semaine-09,17,2801,1757450040,1757450040
6170747-L3_R_97__22:00-JANV2025-L3-Semaine-09,18,2799,1757450100,1757450100
6428493-61_A_50_6104_21:30-PROJET2025-61-Semaine-24,34,266,1757447886,1757447886
6428493-61_A_50_6104_21:30-PROJET2025-61-Semaine-24,35,1162,1757447886,1757447886
6428493-61_A_50_6104_21:30-PROJET2025-61-Semaine-24,36,145,1757447916,1757447916
6428493-61_A_50_6104_21:30-PROJET2025-61-Semaine-24,37,138,1757447960,1757447960
6428493-61_A_50_6104_21:30-PROJET2025-61-Semaine-24,38,178,,1757448070
6428493-61_A_50_6104_21:30-PROJET2025-61-Semaine-24,39,2829,1757448170,
5839180-Exp4_R_97_EXP401_22:10-PROJET2025-Exp4-Semaine-04,0,21583,,1757448600
5839180-Exp4_R_97_EXP401_22:10-PROJET2025-Exp4-Semaine-04,1,21261,1757448650,1757448650
5839180-Exp4_R_97_EXP401_22:10-PROJET2025-Exp4-Semaine-04,2,21265,1757448697,1757448697
5839180-Exp4_R_97_EXP401_22:10-PROJET2025-Exp4-Semaine-04,3,21266,1757448737,1757448737
5839180-Exp4_R_97_EXP401_22:10-PROJET2025-Exp4-Semaine-04,4,21267,1757448777,1757448777
5839180-Exp4_R_97_EXP401_22:10-PROJET2025-Exp4-Semaine-04,5,21268,1757448817,1757448817
5839180-Exp4_R_97_EXP401_22:10-PROJET2025-Exp4-Semaine-04,6,21269,1757448872,1757448872
5839180-Exp4_R_97_EXP401_22:10-PROJET2025-Exp4-Semaine-04,7,21270,1757448905,1757448905
5839180-Exp4_R_97_EXP401_22:10-PROJET2025-Exp4-Semaine-04,8,21271,1757448954,1757448954
5839180-Exp4_R_97_EXP401_22:10-PROJET2025-Exp4-Semaine-04,9,21272,1757449013,1757449013
5839180-Exp4_R_97_EXP401_22:10-PROJET2025-Exp4-Semaine-04,10,21273,1757449071,1757449071
5839180-Exp4_R_97_EXP401_22:10-PROJET2025-Exp4-Semaine-04,11,21274,1757449123,1757449123
5839180-Exp4_R_97_EXP401_22:10-PROJET2025-Exp4-Semaine-04,12,21275,1757449196,1757449196
5839180-Exp4_R_97_EXP401_22:10-PROJET2025-Exp4-Semaine-04,13,21276,1757449245,1757449245
5839180-Exp4_R_97_EXP401_22:10-PROJET2025-Exp4-Semaine-04,14,21277,1757449302,1757449302
5839180-Exp4_R_97_EXP401_22:10-PROJET2025-Exp4-Semaine-04,15,21278,1757449366,1757449366
5839180-Exp4_R_97_EXP401_22:10-PROJET2025-Exp4-Semaine-04,16,21262,1757449422,1757449422
5839180-Exp4_R_97_EXP401_22:10-PROJET2025-Exp4-Semaine-04,17,21735,,1757449500
5839180-Exp4_R_97_EXP401_22:10-PROJET2025-Exp4-Semaine-04,18,2994,1757450314,1757450314
5839180-Exp4_R_97_EXP401_22:10-PROJET2025-Exp4-Semaine-04,19,2835,1757450400,1757450400
5839180-Exp4_R_97_EXP401_22:10-PROJET2025-Exp4-Semaine-04,20,1158,1757450552,1757450552
5839180-Exp4_R_97_EXP401_22:10-PROJET2025-Exp4-Semaine-04,21,816,1757450580,1757450580
5839180-Exp4_R_97_EXP401_22:10-PROJET2025-Exp4-Semaine-04,22,127,1757450693,1757450693
5839180-Exp4_R_97_EXP401_22:10-PROJET2025-Exp4-Semaine-04,23,2971,1757450880,
6446628-05_R_50_0510_22:21-SETP2025-05-L-Ma-J-V-38,0,1145,,1757449260
6446628-05_R_50_0510_22:21-SETP2025-05-L-Ma-J-V-38,1,299,1757449299,1757449299
