trip_id,route_id,direction_id
6369720-30_A_50_3001_18:45-SETP2025-30-Semaine-32,30,0
6414330-07_R_97_0702_17:50-SETP2025-07-L-Ma-J-V-41,07,1
6413123-38_R_99_3803_16:56-SETP2025-38-Semaine-41,38,
6365984-20_R_98_2005_18:04-SETP2025-20-Semaine-42,20,1
6422659-99_A_50_9902_19:00-SETP2025-99-Semaine-11,99,0
5203715-68_A_50_6805_18:00-PROJET2024-68-Semaine-15,68,0
6402566-32_R_97_3202_17:54-SETP2025-32-Semaine-34,32,1
5925333-54_R_98_5402_17:53-PROJET2025-54-Semaine-17,54,1
4669820-62_A_48_6205_17:15-RESEAU2023-62-Semaine-17,62,
6365963-20_A_50_2005_17:17-SETP2025-20-Semaine-42,20,
4523356-88_R_98_8801_18:35-RESEAU2023-88-Semaine-83-1101100,88,1
5422159-75_R_97_7501_18:59-PROJET2024-75-Semaine-86-1101100,75,1
6102470-63_R_98_6305_17:20-PROJET2025-63-Semaine-72-1101100,63,1
6446607-05_A_99_0504_18:06-SETP2025-05-L-Ma-J-V-38,05,0
6412299-71_A_50_7102_17:20-PROJET2025-71-Semaine-80,71,0
6403278-36_A_49_3604_18:30-SETP2025-36-Semaine-33,36,0
6412303-71_A_50_7101_18:20-PROJET2025-71-Semaine-80,71,0
6252502-11_A_49_1104_16:59-SETP2025-11-Semaine-37,11,
6365973-20_A_50_2007_16:50-SETP2025-20-Semaine-42,20,
6420037-77_A_50_7701_16:45-PROJET2025-77-Semaine-05-1101100,77,
6252461-11_R_97_1106_18:39-SETP2025-11-Semaine-37,11,1
5838474-52_A_6_5201_18:10-PROJET2025-52-Semaine-20,52,0
6327203-17_R_99_1707_16:49-SETP2025-17-L-Ma-J-V-35,17,
5925332-54_A_47_5402_17:06-PROJET2025-54-Semaine-17,54,
6416042-21_R_99_2102_18:58-SETP2025-21-Semaine-40,21,1
6420750-81_A_49_8101_18:07-SETP2025-81-Semaine-40,81,0
6368782-09_A_50_0906_17:35-PROJET2025-09-Semaine-35,09,0
6102510-63_A_48_6305_18:10-PROJET2025-63-Semaine-72-1101100,63,0
6424147-16_R_97_1604_17:21-SETP2025-16-Semaine-35,16,1
6409646-57_R_99_5706_17:46-SETP2025-57-Semaine-06,57,1
6413121-38_A_50_3801_18:15-SETP2025-38-Semaine-41,38,0
6252414-11_A_50_1103_16:37-SETP2025-11-Semaine-37,11,
6365964-20_A_50_2002_16:38-SETP2025-20-Semaine-42,20,
6416041-21_R_99_2105_18:36-SETP2025-21-Semaine-40,21,1
6355804-18_R_99_1805_18:28-SETP2025-18-Semaine-39,18,1
6410656-64_A_50_6402_18:45-SETP2025-64-Semaine-37,64,0
5839185-Exp4_R_99_EXP402_18:35-PROJET2025-Exp4-Semaine-04,Exp4,1
6402577-32_R_97_3202_18:31-SETP2025-32-Semaine-34,32,1
6218564-84_R_95_8401_16:35-PROJET2025-84-Semaine-04,84,
5422160-75_R_97_7501_20:03-PROJET2024-75-Semaine-86-1101100,75,1
6411428-70_R_99_7001_19:30-SETP2025-70-Semaine-35,70,1
6420014-35_R_99_3504_18:44-SETP2025-35-Semaine-35,35,1
6429332-15_R_99_1503_17:28-SETP2025-15-Semaine-11,15,1
6409643-57_R_99_5703_17:07-SETP2025-57-Semaine-06,57,
6252531-11_A_49_1107_16:47-SETP2025-11-Semaine-37,11,
6369768-42_A_6_4201_16:24-PROJET2025-42-Semaine-83,42,
6018947-55_R_98_5501_18:57-PROJET2025-55-Semaine-08,55,1
