trip_id,stop_sequence,stop_id,arrival_time,departure_time
6252471-11_A_50_1104_10:36-SETP2025-11-Semaine-37,0,1342,,1757406960.0
6252471-11_A_50_1104_10:36-SETP2025-11-Semaine-37,1,753,1757407059.0,1757407059.0
6252471-11_A_50_1104_10:36-SETP2025-11-Semaine-37,2,597,1757407141.0,1757407141.0
6252471-11_A_50_1104_10:36-SETP2025-11-Semaine-37,3,251,1757407221.0,1757407221.0
6252471-11_A_50_1104_10:36-SETP2025-11-Semaine-37,4,799,,1757407263.0
6252471-11_A_50_1104_10:36-SETP2025-11-Semaine-37,5,982,1757407320.0,1757407320.0
6252471-11_A_50_1104_10:36-SETP2025-11-Semaine-37,6,211,1757407397.0,1757407397.0
6252471-11_A_50_1104_10:36-SETP2025-11-Semaine-37,7,1258,1757407435.0,1757407435.0
6252471-11_A_50_1104_10:36-SETP2025-11-Semaine-37,8,1240,1757407500.0,1757407500.0
6252471-11_A_50_1104_10:36-SETP2025-11-Semaine-37,9,1113,1757407568.0,1757407568.0
6252471-11_A_50_1104_10:36-SETP2025-11-Semaine-37,10,1343,,1757407620.0
6252471-11_A_50_1104_10:36-SETP2025-11-Semaine-37,11,1443,1757407707.0,1757407707.0
6252471-11_A_50_1104_10:36-SETP2025-11-Semaine-37,12,1613,1757407871.0,1757407871.0
6252471-11_A_50_1104_10:36-SETP2025-11-Semaine-37,13,1616,1757408031.0,1757408031.0
6252471-11_A_50_1104_10:36-SETP2025-11-Semaine-37,14,2980,1757408100.0,1757408100.0
6252471-11_A_50_1104_10:36-SETP2025-11-Semaine-37,17,1298,1757408460.0,1757408460.0
6252471-11_A_50_1104_10:36-SETP2025-11-Semaine-37,19,1445,1757408716.0,1757408716.0
6252471-11_A_50_1104_10:36-SETP2025-11-Semaine-37,20,451,1757408860.0,1757408860.0
6252471-11_A_50_1104_10:36-SETP2025-11-Semaine-37,21,60,1757408935.0,1757408935.0
6252471-11_A_50_1104_10:36-SETP2025-11-Semaine-37,22,70,1757409011.0,1757409011.0
6252471-11_A_50_1104_10:36-SETP2025-11-Semaine-37,23,220,1757409120.0,1757409120.0
6252471-11_A_50_1104_10:36-SETP2025-11-Semaine-37,24,1316,1757409162.0,1757409162.0
6252471-11_A_50_1104_10:36-SETP2025-11-Semaine-37,25,1015,1757409222.0,1757409222.0
6252471-11_A_50_1104_10:36-SETP2025-11-Semaine-37,26,1223,1757409300.0,
6414227-07_R_97_0709_09:21-SETP2025-07-L-Ma-J-V-41,23,570,1757404043.0,1757404043.0
6414227-07_R_97_0709_09:21-SETP2025-07-L-Ma-J-V-41,24,1087,1757404107.0,1757404107.0
6414227-07_R_97_0709_09:21-SETP2025-07-L-Ma-J-V-41,25,851,1757404164.0,1757404164.0
6414227-07_R_97_0709_09:21-SETP2025-07-L-Ma-J-V-41,26,1065,1757404246.0,
4759147-47_R_99_4702_12:38-PROJET2023-47-Semaine-10,0,21735,,1757414280.0
4759147-47_R_99_4702_12:38-PROJET2023-47-Semaine-10,25,3008,,1757415960.0
6368840-09_A_50_0902_09:00-PROJET2025-09-Semaine-35,30,2971,1757404263.0,
6419984-35_A_50_3502_10:20-SETP2025-35-Semaine-35,0,2686,,1757406000.0
6419984-35_A_50_3502_10:20-SETP2025-35-Semaine-35,1,1598,1757406181.0,1757406181.0
6419984-35_A_50_3502_10:20-SETP2025-35-Semaine-35,2,1546,1757406360.0,1757406360.0
6419984-35_A_50_3502_10:20-SETP2025-35-Semaine-35,3,477,1757406420.0,1757406420.0
6419984-35_A_50_3502_10:20-SETP2025-35-Semaine-35,4,543,1757406524.0,1757406524.0
6419984-35_A_50_3502_10:20-SETP2025-35-Semaine-35,5,795,1757406571.0,1757406571.0
6419984-35_A_50_3502_10:20-SETP2025-35-Semaine-35,6,423,1757406630.0,1757406630.0
6419984-35_A_50_3502_10:20-SETP2025-35-Semaine-35,7,345,,1757406702.0
6419984-35_A_50_3502_10:20-SETP2025-35-Semaine-35,8,1304,,1757406759.0
6419984-35_A_50_3502_10:20-SETP2025-35-Semaine-35,9,2694,,1757406840.0
6419984-35_A_50_3502_10:20-SETP2025-35-Semaine-35,10,642,1757406864.0,1757406864.0
6419984-35_A_50_3502_10:20-SETP2025-35-Semaine-35,11,443,1757406958.0,1757406958.0
6419984-35_A_50_3502_10:20-SETP2025-35-Semaine-35,12,274,1757407022.0,1757407022.0
6419984-35_A_50_3502_10:20-SETP2025-35-Semaine-35,13,944,1757407082.0,1757407082.0
6419984-35_A_50_3502_10:20-SETP2025-35-Semaine-35,14,1095,1757407123.0,1757407123.0
6419984-35_A_50_3502_10:20-SETP2025-35-Semaine-35,16,201,,1757407200.0
6419984-35_A_50_3502_10:20-SETP2025-35-Semaine-35,17,68,1757407270.0,1757407270.0
6419984-35_A_50_3502_10:20-SETP2025-35-Semaine-35,18,1210,1757407311.0,1757407311.0
6419984-35_A_50_3502_10:20-SETP2025-35-Semaine-35,19,206,1757407357.0,1757407357.0
6419984-35_A_50_3502_10:20-SETP2025-35-Semaine-35,20,298,1757407393.0,1757407393.0
6419984-35_A_50_3502_10:20-SETP2025-35-Semaine-35,21,1144,,1757407440.0
6419984-35_A_50_3502_10:20-SETP2025-35-Semaine-35,22,629,1757407466.0,1757407466.0
6419984-35_A_50_3502_10:20-SETP2025-35-Semaine-35,23,553,1757407484.0,1757407484.0
6419984-35_A_50_3502_10:20-SETP2025-35-Semaine-35,24,738,1757407497.0,1757407497.0
6419984-35_A_50_3502_10:20-SETP2025-35-Semaine-35,25,1614,1757407531.0,1757407531.0
6419984-35_A_50_3502_10:20-SETP2025-35-Semaine-35,26,1275,1757407597.0,1757407597.0
6419984-35_A_50_3502_10:20-SETP2025-35-Semaine-35,27,116,1757407620.0,1757407620.0
6419984-35_A_50_3502_10:20-SETP2025-35-Semaine-35,28,559,1757407641.0,1757407641.0
6419984-35_A_50_3502_10:20-SETP2025-35-Semaine-35,29,1057,1757407677.0,1757407677.0
6419984-35_A_50_3502_10:20-SETP2025-35-Semaine-35,30,855,1757407717.0,1757407717.0
6419984-35_A_50_3502_10:20-SETP2025-35-Semaine-35,31,369,1757407748.0,1757407748.0
6419984-35_A_50_3502_10:20-SETP2025-35-Semaine-35,32,846,1757407767.0,1757407767.0
6419984-35_A_50_3502_10:20-SETP2025-35-Semaine-35,33,6047,1757407800.0,1757407800.0
6419984-35_A_50_3502_10:20-SETP2025-35-Semaine-35,34,6154,1757407826.0,1757407826.0
6419984-35_A_50_3502_10:20-SETP2025-35-Semaine-35,35,6094,1757407850.0,1757407850.0
6419984-35_A_50_3502_10:20-SETP2025-35-Semaine-35,36,6037,1757407869.0,1757407869.0
6419984-35_A_50_3502_10:20-SETP2025-35-Semaine-35,37,6041,1757407929.0,1757407929.0
6419984-35_A_50_3502_10:20-SETP2025-35-Semaine-35,38,6157,1757408040.0,1757408040.0
6419984-35_A_50_3502_10:20-SETP2025-35-Semaine-35,39,6042,1757408137.0,1757408137.0
6419984-35_A_50_3502_10:20-SETP2025-35-Semaine-35,40,6038,1757408195.0,1757408195.0
6419984-35_A_50_3502_10:20-SETP2025-35-Semaine-35,41,6095,1757408217.0,1757408217.0
6419984-35_A_50_3502_10:20-SETP2025-35-Semaine-35,42,6155,1757408234.0,1757408234.0
6419984-35_A_50_3502_10:20-SETP2025-35-Semaine-35,43,6048,1757408263.0,1757408263.0
6419984-35_A_50_3502_10:20-SETP2025-35-Semaine-35,44,32208,1757408280.0,1757408280.0
6419984-35_A_50_3502_10:20-SETP2025-35-Semaine-35,45,614,1757408305.0,1757408305.0
6419984-35_A_50_3502_10:20-SETP2025-35-Semaine-35,46,1335,1757408333.0,1757408333.0
6419984-35_A_50_3502_10:20-SETP2025-35-Semaine-35,47,445,1757408359.0,1757408359.0
6419984-35_A_50_3502_10:20-SETP2025-35-Semaine-35,48,550,1757408415.0,1757408415.0
6419984-35_A_50_3502_10:20-SETP2025-35-Semaine-35,49,590,1757408453.0,1757408453.0
6419984-35_A_50_3502_10:20-SETP2025-35-Semaine-35,50,194,1757408494.0,1757408494.0
6419984-35_A_50_3502_10:20-SETP2025-35-Semaine-35,51,54,1757408535.0,1757408535.0
6419984-35_A_50_3502_10:20-SETP2025-35-Semaine-35,52,414,1757408604.0,1757408604.0
6419984-35_A_50_3502_10:20-SETP2025-35-Semaine-35,53,502,1757408640.0,1757408640.0
6419984-35_A_50_3502_10:20-SETP2025-35-Semaine-35,54,426,1757408680.0,1757408680.0
6419984-35_A_50_3502_10:20-SETP2025-35-Semaine-35,55,1217,1757408749.0,1757408749.0
6419984-35_A_50_3502_10:20-SETP2025-35-Semaine-35,56,1205,1757408810.0,1757408810.0
6419984-35_A_50_3502_10:20-SETP2025-35-Semaine-35,57,712,,1757408905.0
6419984-35_A_50_3502_10:20-SETP2025-35-Semaine-35,58,1427,1757409000.0,
6446556-05_R_50_0508_11:28-SETP2025-05-L-Ma-J-V-38,0,1145,,1757410080.0
6446556-05_R_50_0508_11:28-SETP2025-05-L-Ma-J-V-38,1,299,1757410158.0,1757410158.0
6446556-05_R_50_0508_11:28-SETP2025-05-L-Ma-J-V-38,2,230,1757410215.0,1757410215.0
6446556-05_R_50_0508_11:28-SETP2025-05-L-Ma-J-V-38,3,1211,1757410265.0,1757410265.0
6446556-05_R_50_0508_11:28-SETP2025-05-L-Ma-J-V-38,4,73,1757410326.0,1757410326.0
6446556-05_R_50_0508_11:28-SETP2025-05-L-Ma-J-V-38,8,46,1757410620.0,1757410620.0
6446556-05_R_50_0508_11:28-SETP2025-05-L-Ma-J-V-38,9,1104,1757410736.0,1757410736.0
6446556-05_R_50_0508_11:28-SETP2025-05-L-Ma-J-V-38,10,378,1757410802.0,1757410802.0
6446556-05_R_50_0508_11:28-SETP2025-05-L-Ma-J-V-38,11,729,1757410846.0,1757410846.0
6446556-05_R_50_0508_11:28-SETP2025-05-L-Ma-J-V-38,12,1164,1757410909.0,1757410909.0
6446556-05_R_50_0508_11:28-SETP2025-05-L-Ma-J-V-38,13,966,1757410986.0,1757410986.0
6446556-05_R_50_0508_11:28-SETP2025-05-L-Ma-J-V-38,14,1160,1757411053.0,1757411053.0
6413139-38_R_99_3803_09:40-SETP2025-38-Semaine-41,2,2977,1757404041.0,1757404041.0
6413139-38_R_99_3803_09:40-SETP2025-38-Semaine-41,3,1620,1757404152.0,1757404152.0
6413139-38_R_99_3803_09:40-SETP2025-38-Semaine-41,4,20,1757404288.0,1757404288.0
6413139-38_R_99_3803_09:40-SETP2025-38-Semaine-41,5,964,1757404323.0,1757404323.0
6413139-38_R_99_3803_09:40-SETP2025-38-Semaine-41,6,1218,1757404428.0,1757404428.0
6413139-38_R_99_3803_09:40-SETP2025-38-Semaine-41,7,1168,1757404477.0,1757404477.0
6413139-38_R_99_3803_09:40-SETP2025-38-Semaine-41,8,21,,1757404650.0
6413139-38_R_99_3803_09:40-SETP2025-38-Semaine-41,9,71,1757404777.0,1757404777.0
6413139-38_R_99_3803_09:40-SETP2025-38-Semaine-41,10,72,1757404802.0,1757404802.0
6413139-38_R_99_3803_09:40-SETP2025-38-Semaine-41,11,493,1757404900.0,1757404900.0
6413139-38_R_99_3803_09:40-SETP2025-38-Semaine-41,12,216,1757404882.0,1757404882.0
6413139-38_R_99_3803_09:40-SETP2025-38-Semaine-41,13,967,1757404974.0,1757404974.0
6413139-38_R_99_3803_09:40-SETP2025-38-Semaine-41,14,741,1757404991.0,1757404991.0
6413139-38_R_99_3803_09:40-SETP2025-38-Semaine-41,15,885,1757405022.0,1757405022.0
6413139-38_R_99_3803_09:40-SETP2025-38-Semaine-41,16,1138,1757405017.0,
6355781-18_R_99_1804_10:46-SETP2025-18-Semaine-39,0,1249,,1757407560.0
6355781-18_R_99_1804_10:46-SETP2025-18-Semaine-39,1,938,1757407660.0,1757407660.0
6355781-18_R_99_1804_10:46-SETP2025-18-Semaine-39,2,707,,1757407800.0
6355781-18_R_99_1804_10:46-SETP2025-18-Semaine-39,3,483,1757407833.0,1757407833.0
6355781-18_R_99_1804_10:46-SETP2025-18-Semaine-39,4,1431,1757407860.0,1757407860.0
6355781-18_R_99_1804_10:46-SETP2025-18-Semaine-39,5,469,1757407939.0,1757407939.0
6355781-18_R_99_1804_10:46-SETP2025-18-Semaine-39,6,983,1757408040.0,1757408040.0
6355781-18_R_99_1804_10:46-SETP2025-18-Semaine-39,7,628,1757408095.0,1757408095.0
