trip_id,route_id,direction_id
6414374-07_R_97_0701_24:00-SETP2025-07-L-Ma-J-V-41,07,1
6409669-57_R_99_5709_22:35-SETP2025-57-Semaine-06,57,1
6170735-L3_R_97__21:48-JANV2025-L3-Semaine-09,L3,1
6005437-B_A_50_VTB01_22:00-JANV2025-B-Semaine-03,B,0
6409681-57_A_50_5709_23:35-SETP2025-57-Semaine-06,57,0
6368775-09_A_50_0905_22:00-PROJET2025-09-Semaine-35,09,
6429338-15_R_99_1505_21:35-SETP2025-15-Semaine-11,15,
6170751-L3_A_48__22:24-JANV2025-L3-Semaine-09,L3,0
6368765-09_R_99_0904_22:00-PROJET2025-09-Semaine-35,09,
6170752-L3_R_97__22:20-JANV2025-L3-Semaine-09,L3,1
6402599-32_R_97_3202_22:25-SETP2025-32-Semaine-34,32,1
5203736-68_R_99_6805_22:00-PROJET2024-68-Semaine-15,68,
6452589-T1_R_57_VT118_22:00-SETP2025-L1-Semaine-04,L1,1
6170749-L3_A_48__21:22-JANV2025-L3-Semaine-09,L3,0
6409680-57_A_50_5703_23:05-SETP2025-57-Semaine-06,57,0
5203704-68_A_50_6806_21:53-PROJET2024-68-Semaine-15,68,
6452975-T1_A_12_VT113_22:30-SETP2025-L1-Semaine-04,L1,0
6452553-T1_A_12_VT105_22:00-SETP2025-L1-Semaine-04,L1,0
6170770-L3_R_97__21:27-JANV2025-L3-Semaine-09,L3,1
6446418-05_A_99_0506_24:00-SETP2025-05-L-Ma-J-V-38,05,0
6409670-57_R_99_5707_23:05-SETP2025-57-Semaine-06,57,1
6414367-07_R_97_0710_23:30-SETP2025-07-L-Ma-J-V-41,07,1
6170799-L3_R_93__21:54-JANV2025-L3-Semaine-09,L3,1
6446627-05_A_99_0510_22:00-SETP2025-05-L-Ma-J-V-38,05,
5838841-22_A_45_2213_22:30-PROJET2025-22-Semaine-20,22,0
6170493-L2_A_49__21:40-JANV2025-L2-Semaine-09,L2,0
6005427-B_R_99_VTB02_22:01-JANV2025-B-Semaine-03,B,1
6170771-L3_A_14__21:52-JANV2025-L3-Semaine-09,L3,0
6102623-63_A_48_6305_22:00-PROJET2025-63-Semaine-72-1101100,63,
6428371-60_A_50_6003_21:50-PROJET2025-60-Semaine-08,chouette:Line:4a8dc505-72e7-4b72-b186-a5b46e94fb82:LOC,
6446633-05_A_99_0506_22:40-SETP2025-05-L-Ma-J-V-38,05,0
6414370-07_R_97_0710_22:00-SETP2025-07-L-Ma-J-V-41,07,
6446424-05_R_50_0506_23:00-SETP2025-05-L-Ma-J-V-38,05,1
4542667-44_R_99_4401_22:38-RESEAU2023-44-Semaine-89,44,1
6446416-05_R_50_0506_23:40-SETP2025-05-L-Ma-J-V-38,05,1
6452551-T1_A_12_VT122_21:30-SETP2025-L1-Semaine-04,L1,0
6452552-T1_A_12_VT103_21:45-SETP2025-L1-Semaine-04,L1,0
6414371-07_A_49_0705_21:47-SETP2025-07-L-Ma-J-V-41,07,
6416049-21_R_99_2103_22:00-SETP2025-21-Semaine-40,21,
6409667-57_R_99_5712_21:40-SETP2025-57-Semaine-06,57,
6170748-L3_A_48__21:41-JANV2025-L3-Semaine-09,L3,0
6429339-15_R_99_1502_22:00-SETP2025-15-Semaine-11,15,
